who,pro_com,selectedhospitalemp,selectedhospital,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
506,51002,48,60,false,0,50,-10,0,10,false,0,0,false
507,51002,48,50,false,0,50,-10,0,10,false,0,0,false
508,51002,48,50,false,0,50,-10,0,10,false,0,0,false
509,51002,48,60,false,0,50,-10,0,10,false,0,0,false
510,51002,48,50,false,0,50,-10,0,10,false,0,0,false
511,51002,48,60,false,0,50,-10,0,10,false,0,0,false
512,51002,48,61,false,0,50,-10,0,10,false,0,0,false
513,51002,48,63,false,0,50,-10,0,10,false,0,0,false
514,51002,48,63,false,0,50,-10,0,10,false,0,0,false
515,51002,48,60,false,0,50,-10,0,10,false,0,0,false
516,51002,48,48,false,0,50,-10,0,10,false,0,0,false
517,51002,48,58,false,0,50,-10,0,10,false,0,0,false
518,51002,48,61,false,0,50,-10,0,10,false,0,0,false
519,51002,48,48,false,0,50,-10,0,10,false,0,0,false
