52013,42,100,151,51,81,24,74,57,19,37,66,66,82,101,100,114,42,30,106
52015,42,121,170,76,102,50,93,81,49,67,87,90,106,125,121,138,66,54,129
52016,67,78,135,35,59,12,58,42,53,9,46,51,67,86,78,99,32,38,90
52017,59,99,133,55,80,15,56,63,48,30,66,72,88,107,99,120,53,60,112
52018,79,106,100,63,88,34,46,71,66,38,75,80,96,115,107,128,61,67,128
52019,67,112,124,68,93,24,46,76,56,43,79,85,101,120,112,133,66,69,124
52020,77,152,146,111,137,70,69,115,84,84,121,124,140,171,155,173,101,88,174
52021,50,129,144,83,110,53,67,88,56,70,94,97,113,132,129,145,73,61,136
52022,62,72,132,31,53,20,66,38,46,0,40,47,63,82,72,95,28,34,86
52023,46,91,158,42,72,29,81,50,23,27,57,59,75,94,91,107,40,28,98
52024,61,140,162,95,121,62,85,99,68,77,105,108,124,143,140,156,85,72,147
52025,90,88,108,56,78,39,69,64,77,31,67,73,89,108,100,121,54,59,111
52026,39,107,142,64,88,22,64,71,34,38,75,80,96,115,107,129,59,47,120
52027,58,137,170,91,118,68,92,96,64,85,102,105,121,140,137,153,81,69,144
52028,72,70,132,41,50,31,77,48,56,13,39,57,73,95,70,105,38,44,98
52030,56,123,137,80,104,39,59,87,63,54,91,96,112,131,123,145,80,67,136
52031,43,122,174,77,103,54,97,82,50,71,88,90,107,126,122,139,67,54,130
52032,59,90,131,46,71,0,54,54,46,21,57,62,79,98,90,111,43,49,102
52033,31,110,154,66,91,34,77,69,38,51,75,78,94,113,110,126,55,42,117
52034,67,96,114,52,77,19,50,60,54,27,63,69,85,104,96,117,50,55,109
52035,32,111,158,68,92,38,81,71,39,55,77,79,96,115,111,128,56,43,120
52036,38,117,161,73,98,41,84,76,45,58,82,85,101,120,117,133,62,49,126
52037,66,132,125,77,102,37,48,85,69,52,88,94,110,151,135,142,75,77,154
53001,88,131,125,103,134,66,47,111,98,78,114,120,142,150,134,177,101,99,154
53002,91,102,96,82,105,45,19,90,77,57,93,98,114,121,106,148,79,90,125
53003,145,138,132,136,141,99,48,144,131,111,157,153,149,157,142,184,134,144,161
53004,84,131,124,103,134,66,47,111,98,78,114,120,142,150,134,177,101,95,154
53005,86,157,150,120,146,79,73,124,93,93,130,133,149,176,160,182,110,97,180
53006,119,85,78,110,88,73,20,118,105,85,103,118,96,104,88,131,108,118,108
53007,90,117,110,89,120,51,34,96,84,63,100,105,128,136,120,163,86,96,140
53008,80,107,100,71,96,34,23,79,66,46,82,88,118,126,110,153,69,79,130
53009,125,66,60,103,69,79,35,107,111,79,84,100,77,85,69,111,109,115,89
53010,121,79,72,115,82,75,31,120,107,87,97,112,90,98,82,123,110,120,102
53011,104,97,90,95,100,57,0,102,90,69,115,111,108,116,100,143,92,103,120
53012,169,162,156,160,165,123,72,168,155,135,180,177,173,181,165,209,158,168,185
53013,125,118,111,116,121,78,28,123,111,90,136,132,129,137,121,164,113,123,141
53014,125,143,137,141,146,104,53,149,136,116,162,158,154,162,147,190,139,136,166
53015,106,77,71,89,80,60,39,97,92,63,96,111,88,96,81,122,86,92,100
53016,140,133,127,131,136,94,43,139,126,106,151,148,144,152,136,179,129,139,156
53017,94,95,89,71,98,48,49,78,80,45,82,87,106,114,98,141,68,74,118
53018,137,130,123,128,133,91,40,136,123,103,148,144,141,149,133,176,125,136,153
53019,105,159,152,139,162,98,69,143,112,112,149,152,170,178,162,205,129,116,182
53020,106,131,124,120,134,82,43,127,115,94,131,136,142,150,134,177,117,127,154
53021,91,98,91,82,101,44,34,89,77,56,93,98,109,117,101,144,79,89,121
53022,90,138,131,110,141,73,54,118,97,85,121,126,149,157,141,184,107,101,161
53023,119,113,107,110,116,73,25,118,105,85,121,126,124,132,116,159,107,118,136
53024,125,76,69,112,79,79,35,117,111,82,94,109,87,95,79,120,105,124,99
53025,78,139,133,111,142,59,55,119,85,86,122,128,150,158,142,186,109,89,162
53026,96,167,161,130,156,89,77,135,103,104,141,144,160,186,171,192,120,108,190
53027,111,78,79,84,81,64,56,92,97,59,96,101,89,97,81,124,82,87,101
53028,105,144,138,123,148,86,56,131,118,98,134,140,156,163,148,191,121,116,168
100001,88,81,164,52,76,81,127,29,72,65,61,43,57,76,78,90,54,60,81
100002,67,54,132,25,35,60,107,16,51,45,20,23,40,59,54,72,33,39,63
100003,66,62,143,26,49,59,105,15,50,43,38,14,37,56,57,69,32,38,60
100004,64,57,134,23,38,57,103,13,48,41,22,21,38,57,57,70,30,36,61
100005,59,62,143,19,49,52,98,0,43,36,31,21,37,56,58,69,25,30,60
100006,71,67,149,32,55,64,111,14,56,49,41,29,43,62,63,75,38,43,66
100007,81,78,166,42,69,74,120,25,65,58,54,40,54,73,74,86,47,53,77
